gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,delta_nrmse,d_ref,reference_frozen_nrmse,drift_increase_test,n_reference,n_test
CO,6,pls,5,0.0615553715562399,0.0660555552188679,-0.004500183662627999,0.3923065833043839,0.1097569895960778,-0.2191481438138589,5,134
CO,6,pls,10,0.0615553715562399,0.0648486681344791,-0.0032932965782392076,0.3380948355199334,0.1054834206070972,-0.2191481438138589,10,134
CO,6,pls,20,0.0615553715562399,0.0622015434117364,-0.000646171855496501,0.4093454253995537,0.1111001794057032,-0.2191481438138589,20,134
CO,6,pls,50,0.0615553715562399,0.0587121208899477,0.0028432506662922005,0.1923500635983112,0.0939942072346233,-0.2191481438138589,50,134
CO,6,random_forest,0,0.0476180777189675,0.0476180777189675,0.0,,,-0.4722030186488112,0,134
CO,6,random_forest,2,0.0476180777189675,0.0479327659617025,-0.00031468824273499924,-0.0548814054348762,0.0852690187322195,-0.4722030186488112,2,134
CO,6,random_forest,5,0.0476180777189675,0.046767899367558,0.0008501783514094988,-0.2377153120693649,0.0687736625945334,-0.4722030186488112,5,134
CO,6,random_forest,10,0.0476180777189675,0.0478745289687954,-0.00025645124982789924,-0.2488122133439877,0.067772495240408,-0.4722030186488111,10,134
CO,6,random_forest,20,0.0476180777189675,0.0473345133393288,0.0002835643796386955,-0.4124096746693975,0.0530126597292692,-0.4722030186488112,20,134
CO,6,random_forest,50,0.0476180777189675,0.0471259361038535,0.000492141615113996,-0.4121609128183029,0.0530351031337931,-0.4722030186488112,50,134
CO,6,xgboost,0,0.0528854217363982,0.0528854217363982,0.0,,,-0.3836783284282899,0,134
CO,6,xgboost,2,0.0528854217363982,0.0537574367061921,-0.0008720149697938953,0.0434922284013214,0.0895401364630367,-0.3836783284282899,2,134
CO,6,xgboost,5,0.0528854217363982,0.0544477253591393,-0.0015623036227410958,-0.0035632188771165,0.0855023956385597,-0.3836783284282899,5,134
CO,6,xgboost,10,0.0528854217363982,0.054978638268167,-0.0020932165317687976,-0.2279880645318784,0.0662449150759973,-0.3836783284282899,10,134
CO,6,xgboost,20,0.0528854217363982,0.0532044944634313,-0.000319072727033097,-0.4221752891817473,0.0495820687976247,-0.3836783284282899,20,134
CO,6,xgboost,50,0.0528854217363982,0.0529691578248536,-8.37360884553967e-05,-0.2788044569186681,0.0618844545138297,-0.3836783284282899,50,134
CO,7,pls,0,0.0857710136267991,0.0857710136267991,0.0,,,0.2322373504736146,0,139
CO,7,pls,2,0.0857710136267991,0.1036713904648132,-0.017900376838014098,1.5701682947036606,0.1788989270155344,0.2322373504736146,2,139
CO,7,pls,5,0.0857710136267991,0.08617464243896,-0.0004036288121608972,0.9335469315555288,0.1345863117610928,0.2322373504736146,5,139
CO,7,pls,10,0.0857710136267991,0.0814389897524972,0.004332023874301899,0.7245789343337982,0.1200409022014969,0.2322373504736146,10,139
CO,7,pls,20,0.0857710136267991,0.096465306454654,-0.01069429282785489,0.5991438025005802,0.1113098745325084,0.2322373504736146,20,139
CO,7,pls,50,0.0857710136267991,0.0739058344688179,0.011865179157981201,0.3551147846410378,0.0943240103983621,0.2322373504736146,50,139
CO,7,random_forest,0,0.0593806397269783,0.0593806397269783,0.0,,,-0.2544888020681125,0,139
CO,7,random_forest,2,0.0593806397269783,0.1008559679859863,-0.041475328259007994,0.872646639693759,0.149157994884674,-0.2544888020681127,2,139
CO,7,random_forest,5,0.0593806397269783,0.0874105943107503,-0.028029954583771992,0.2321716863492251,0.0981435868325769,-0.2544888020681129,5,139
CO,7,random_forest,10,0.0593806397269783,0.0770915152822558,-0.0177108755552775,-0.0341635254440849,0.0769297468500527,-0.2544888020681126,10,139
CO,7,random_forest,20,0.0593806397269783,0.0971012497843403,-0.037720610057362,0.0992145003486891,0.0875534269759412,-0.2544888020681125,20,139
CO,7,random_forest,50,0.0593806397269783,0.068871705147964,-0.00949106542098569,-0.165020034272147,0.0665069078260314,-0.2544888020681122,50,139
CO,7,xgboost,0,0.0697857724722782,0.0697857724722782,0.0,,,-0.0818319821033081,0,139
CO,7,xgboost,2,0.0697857724722782,0.1229432583373671,-0.05315748586508891,1.5403372819007235,0.1930794757626989,-0.0818319821033081,2,139
CO,7,xgboost,5,0.0697857724722782,0.1093979787518342,-0.039612206279556,0.7011727344225417,0.129298397533394,-0.0818319821033081,5,139
CO,7,xgboost,10,0.0697857724722782,0.0888444752066828,-0.019058702734404603,0.260223363903093,0.0957838426337842,-0.0818319821033081,10,139
CO,7,xgboost,20,0.0697857724722782,0.1059018446836969,-0.0361160722114187,0.3290241732787121,0.1010130790430356,-0.0818319821033081,20,139
CO,7,xgboost,50,0.0697857724722782,0.0731597186926522,-0.0033739462203739995,-0.020569178085145,0.0744420793996518,-0.0818319821033081,50,139
CO,8,pls,0,0.0588818442499116,0.0588818442499116,0.0,,,-0.165499294968641,0,141
CO,8,pls,2,0.0588818442499116,0.066529840959504,-0.007647996709592396,0.7203652205465273,0.1213878866230304,-0.165499294968641,2,141
CO,8,pls,5,0.0588818442499116,0.0571985564802721,0.0016832877696395035,0.2002148891466126,0.0846864067856002,-0.165499294968641,5,141
